PartitionKey,RowKey,,Tweets,Length,Date,Source,Favourites,RTs,Language
site,site,58, brutal temperature crash in europe ⚠️ two huge records only one week apart. horrific for flora and fauna at this delic…,140,7/4/2021 16:56,Twitter Web App,0,2248,en
site,site,59," the spanish climate change law will be processed tomorrow, failing to comply with the electoral promise in the emissio…",140,7/4/2021 16:53,Twitter Web App,0,194,en
site,site,60,on monday 12/4 9pm bst episode 1 of “a year to change the world” will air on  .it’s a documentary series in… ,140,6/4/2021 19:10,Twitter for iPhone,8308,1882,en
site,site,61," one extreme to another in less than one week!beauvais, france 🇫🇷 broke its monthly heat record on march 31 with a baki…",140,6/4/2021 16:06,Twitter for iPhone,0,1995,en
site,site,62,"climate is not like a footy match where you lose and it is game over. the climate game continues, so even if the 1… ",140,6/4/2021 8:36,Twitter Web App,14132,3412,en
site,site,63, at least 97 people killed and thousands of homes destroyed in flash floods and landslides after cyclone seroja hit indonesia…,140,5/4/2021 11:47,Twitter for iPhone,0,776,en
site,site,64,"is this is confirmed, then it is truly groundbreaking to say the least.and i don’t mean that in a good way... ",134,5/4/2021 10:42,Twitter for iPhone,7399,2121,en
site,site,65, vaccine nationalism will prolong the pandemic 💬 rich countries must donate spare #covid19 vaccine doses to…,139,5/4/2021 8:15,Twitter Web App,0,569,en
site,site,66," 53 years ago today, my father was taken from this world. 💔i was only 10 years old when my father was killed, but at the…",140,4/4/2021 19:22,Twitter for iPhone,0,19369,en
site,site,67," most people don't realise this, but the majority of high-income nations have already significantly exceeded their fair sha…",140,4/4/2021 14:10,Twitter Web App,0,2627,en
site,site,68," rich nations' 2050 targets are tantamount to saying we've already eaten more than our fair share of the pie, but will kee…",140,4/4/2021 14:08,Twitter Web App,0,470,en
site,site,69, there is no great mystery about the cause of #covid19 – or any modern pandemic. — for #worldhealthday o…,140,4/4/2021 8:28,Twitter Web App,0,736,en
site,site,70,so the ”biggest line item” of biden's climate focused $2 trillion infrastructure plan will ”fund repairs and renova… ,140,3/4/2021 12:11,Twitter Web App,7329,1109,en
site,site,71," my 107th week. we demand green recovery, climate action and justice in russia. according to the latest scientific data – ru…",140,3/4/2021 8:38,Twitter for iPhone,0,309,en
site,site,72, my 106th week on #climatestrikeurgent things to do for a sustainable future 🚨#fightfor1point5!🚨#withdrawthecap! 🚨#ratif…,140,3/4/2021 8:38,Twitter for iPhone,0,389,en
site,site,73, young people are demanding serious #climateaction. we are ranked 3rd most vulnarable country to effects of the #climat…,140,3/4/2021 8:35,Twitter for iPhone,0,465,en
site,site,74,"it simply means that you are a bit different from everyone else. and in a world where everyone strives to act, thin… ",140,2/4/2021 18:40,Twitter for iPhone,22224,1779,en
site,site,75,so let’s all join in spreading awareness. it could literally save lives. autism is not a disease. it’s not somethin… ,140,2/4/2021 18:39,Twitter for iPhone,12738,1048,en
site,site,76,"sadly, today the level of awareness is so low. so many go undiagnosed and will therefore not receive the help they… ",139,2/4/2021 18:38,Twitter for iPhone,8280,499,en
site,site,77,almost everywhere there are very limited resources to give autistic people the necessary support. without these adj… ,140,2/4/2021 18:38,Twitter for iPhone,9342,708,en
site,site,78,that more people are diagnosed with autism etc isn’t because there is an “inflation” in diagnoses but since awarene… ,140,2/4/2021 18:37,Twitter for iPhone,9410,637,en
site,site,79,"today, so many (especially girls) remain undiagnosed. the reasons for that are often lack of awareness, prejudices… ",139,2/4/2021 18:34,Twitter for iPhone,11330,829,en
site,site,80,"today is #autismawarenessday. at the age of 12 i was diagnosed with asperger, a form of autism. at that time i had… ",139,2/4/2021 18:33,Twitter for iPhone,66356,10354,en
site,site,81,"happy easter everyone! today, instead of going egg-hunting, we went waste-hunting! ",106,2/4/2021 16:40,Twitter for iPhone,40021,2940,en
site,site,82, we must unite behind the science in order to tackle the climate crisis #facetheclimateemergency #nomoreemptypromises #ris…,140,2/4/2021 16:39,Twitter for iPhone,0,416,en
site,site,83, week 51 of #climatestrikeonlinethe climate emergency is beyond politics #anotherworldispossible #fridaysforfuture h…,140,2/4/2021 16:39,Twitter for iPhone,0,311,en
site,site,84," don't just like or retweet this tweet, stand up and join the fight. the fight for #climatejustice. i have been sick an…",140,2/4/2021 16:38,Twitter for iPhone,0,271,en
site,site,85, 🗣 today i received official police charges for protesting for climate action in december. now i’m waiting for coupr…,140,2/4/2021 16:38,Twitter for iPhone,0,478,en
site,site,86, #fridaysforfuture in new hampshire week 17! 🪧🌎💚reminder that  still hasn’t signed on to suppothe thr…,140,2/4/2021 16:38,Twitter for iPhone,0,194,en
site,site,87,the fact that this aspect doesn’t even exist in the debate when we talk about vaccination and “going back to normal… ,140,2/4/2021 8:57,Twitter for iPhone,8461,1618,en
site,site,88,school strike week 137.#climatestrikeonline#fridaysforfuture #schoolstrike4climate #facetheclimateemergency ,133,2/4/2021 8:54,Twitter for iPhone,10701,1297,en
site,site,89, we are back again in digital climate strike for heavy restriction in bangladesh dealing second wave of covid-19. …,140,2/4/2021 8:25,Twitter Web App,0,244,en
site,site,90, #nomoreemptypromises #roadtoglasgow #cop26  ,108,2/4/2021 8:22,Twitter Web App,0,181,en
site,site,91, week 89 #climatestrike there has been a sharp increase in new covid 19 cases in turkey in the last few weeks. this is why…,140,2/4/2021 8:22,Twitter Web App,0,240,en
site,site,92, march ended with a bang! exceptional heat to end the first quarter of 2021.this was the hottest march day on record fo…,140,2/4/2021 7:27,Twitter Web App,0,886,en
site,site,93,i made a video where i talk about some small things we all can and should do to stop the climate crisis.we are in… ,139,1/4/2021 14:01,Twitter for iPhone,10716,2729,en
site,site,94, the gap between the 's projections for ccs growth and reality are basically self parody. you couldn't make this up.that…,140,1/4/2021 13:56,Twitter for iPhone,0,155,en
site,site,95, this was the situation yesterday in many parts of uganda. human activities are causing heavy flooding whenever it rai…,140,1/4/2021 13:54,Twitter for iPhone,0,350,en
site,site,96,well you all know what day it is...,35,1/4/2021 11:44,Twitter Web App,6471,312,en
site,site,97,wow! really impressed by yesterday’s #netzerosummit . the ambitious #netzero emissions targets now being set by our… ,140,1/4/2021 9:55,Twitter Web App,7872,961,en
site,site,98,"interview in  by  , plus a 16 minute video.",57,1/4/2021 8:01,Twitter Web App,1352,149,en
site,site,99,“we need to stop focusing on dates and numbers and actually accept and acknowledge the fact that we need to reduce… ,139,1/4/2021 7:56,Twitter Web App,26337,5197,en
site,site,100, germany has just modified the way it reports on carbon fluctuations in its land use sector for the crucial year of 1990. th…,140,1/4/2021 7:24,Twitter Web App,0,191,en
site,site,101, science is already clear that the 1.5°c target can be met. but science cannot say whether it will be met. #fightfor1p…,140,31/3/2021 14:22,Twitter Web App,0,403,en
site,site,102, want to hear a joke? what's the difference between polluting and #netzero?they're both #notzero😂net zero targets only #g…,140,31/3/2021 14:22,Twitter Web App,0,199,en
site,site,103, i will not be satisfied with the biden administration's climate plan until co2 levels plummet. i don't care how amazing…,140,30/3/2021 14:50,Twitter Web App,0,1076,en
site,site,104, the zone à defendre against the climate polluter lafargeholcim is getting evicted. we are defending it against this destru…,140,30/3/2021 11:19,Twitter for iPhone,0,147,en
site,site,105," a reconstruction of late-summer #arctic sea ice extent over approximately the last 1,500 years+ figure reproduced from https/…",140,30/3/2021 7:57,Twitter for iPhone,0,395,en
site,site,106,in the eu many are frustrated about the slow speed of vaccinations. and that’s very understandable. but why is no o… ,140,28/3/2021 17:41,Twitter Web App,3847,439,en
site,site,107,"countries that are now vaccinating younger, healthy people at low risk of disease, are doing so at the cost of the… ",140,28/3/2021 17:40,Twitter Web App,2973,488,en
site,site,108,"i don’t get it. why is it seen as a success that richer countries vaccinate 10s of millions healthy young people, i… ",140,28/3/2021 17:37,Twitter Web App,9627,1829,en
site,site,109,the world needs to stand in solidarity with the protesters fighting for their rights in myanmar.… ,121,28/3/2021 14:24,Twitter Web App,10193,2946,en
site,site,110, about 10.3 million people were displaced by climate change-induced events such as flooding and droughts in the last six months…,140,28/3/2021 9:01,Twitter Web App,0,378,en
site,site,111,picture taken by suez canal authority via reuters,49,28/3/2021 8:48,Twitter for iPhone,3115,242,en
site,site,112,"and in case anyone’s worried about emissions from evergreen ships like these, carrying our stuff from outsourced fa… ",140,28/3/2021 8:47,Twitter for iPhone,25406,4606,en
site,site,113," #bangladesh emitted 29 times less co2 per capita than the #unitedstates in 2016, yet is potentially facing some of the worst c…",140,27/3/2021 12:43,Twitter Web App,0,507,en
site,site,114, the embattled indigenous peoples of latin america are by far the best guardians of the regions’ forests. ,140,26/3/2021 19:50,Twitter for iPhone,0,572,en
site,site,115," #nomoreemptypromises gilgit baltistan, pakistan  ",124,26/3/2021 18:18,Twitter Web App,0,233,en
site,site,116," i would love you to watch this, because i suspect this might be the most important issue of all. ",139,26/3/2021 18:17,Twitter Web App,0,3568,en
site,site,117, after 5 months we're still asking the  to #withdrawthecap. this cap is not in line with the paris agreem…,140,26/3/2021 17:50,Twitter for iPhone,0,152,en
site,site,118, #fridaysforfuture week 81. on gadigal land. this week it was floods. last year it was bushfires. the australian government st…,140,26/3/2021 15:46,Twitter Web App,0,441,en
site,site,119," the number of corona attacks is increasing, so the weekly global strike from home in jamalpur district of bangladesh.we…",140,26/3/2021 15:46,Twitter Web App,0,208,en
site,site,120, per      ruwhof_jahr  e  una semplice…,140,26/3/2021 15:39,Twitter Web App,0,134,en
site,site,121," in the midst of the corona crisis, you would think that eu leaders would, at least for a moment, stop fueling the ecolo…",140,26/3/2021 15:38,Twitter Web App,0,354,en
site,site,122," if ukraine🇺🇦 becomes paof the eu🇪🇺, we must act for climate together - not destroy it!i am asking , …",140,26/3/2021 15:29,Twitter Web App,0,115,en
site,site,123," this cap will take the 1,5°c target out of reach-and it is a 7 year long budget.we don’t have time for 7 more years o…",140,26/3/2021 15:24,Twitter Web App,0,198,en
site,site,124," here are some more super strikers! #withdrawthecap #nomoreemptypromises pic 1 , ukrainepic 2 …",140,26/3/2021 13:28,Twitter for iPhone,0,135,en
site,site,125, today's strike for climate justice at noakhali in bangladesh. we are unstoppable.#withdrawthecap #nomoreemptypromises…,139,26/3/2021 13:28,Twitter for iPhone,0,271,en
site,site,126," uni strike week 56in the middle of a climate crisis, govts, big companies and big farmers keep lobbying, greenwashing and…",140,26/3/2021 13:28,Twitter for iPhone,0,206,en
site,site,127, today important decisions are being made in the eu which effect the eu’s ability to meet paris agreement targets-impact…,140,26/3/2021 13:28,Twitter for iPhone,0,166,en
site,site,128," today, we are (again) striking for something that should be self-evident in 2021 a cap which is in line with the paris…",140,26/3/2021 13:28,Twitter for iPhone,0,128,en
site,site,129,you say that you listen to us young people. you say that you care.now you must prove it.the only morally right t… ,140,26/3/2021 13:25,Twitter for iPhone,4127,796,en
site,site,130, school strike for climate change week 11.#withdrawthecap     …,140,26/3/2021 13:19,Twitter for iPhone,0,115,en
site,site,131, today people are striking all over the world to demand that the common agricultural policy (cap) be withdrawn by the e…,140,26/3/2021 13:17,Twitter for iPhone,0,303,en
site,site,132,"i am asking , ,  and  to #withdrawthecapthis cap (eu’s common agri… ",140,26/3/2021 13:16,Twitter for iPhone,4923,1022,en
site,site,133," before the super trilogue and our meeting with  , we’re calling for #nomoreemptypromises from the eu commissio…",140,26/3/2021 13:09,Twitter for iPhone,0,163,en
site,site,134, #withdrawthecap #nomoreemptypromises #fightfor1point5    ,136,26/3/2021 11:50,Twitter Web App,0,127,en
site,site,135, #fridaysforfuture #climatestrikeonline - the eu must #withdrawthecap (common agricultural policy) instead of locking us in…,140,26/3/2021 11:37,Twitter Web App,0,172,en
site,site,136, my week 53 #climatestrike we must act now #climateactionnow #withdrawthecap #fridaysforfuture#nomoreemptypromises https…,140,26/3/2021 11:35,Twitter Web App,0,309,en
site,site,137," today, with thousands of european youth, we are demanding  to #withdrawthecap ",140,26/3/2021 11:34,Twitter Web App,0,159,en
site,site,138, today for my #climatestrikeonline we are asking the  to #withdrawthecapit is devastating for the climat…,140,26/3/2021 11:12,Twitter Web App,0,171,en
site,site,139, week #27th #climatestrike in lucknow india 🇮🇳  (we've been ranked 9th city from all across the world for air pollutio…,140,26/3/2021 11:11,Twitter Web App,0,239,en
site,site,140, week 25 of my #schoolstrike4climate from kenya.its to time we demand for #climateaction .#climatejustice #nomoreemptypro…,140,26/3/2021 11:10,Twitter Web App,0,224,en
site,site,141," my 105th week on #climatestrike 🌍 we've heard a lot of empty promises, but seen no real action yet. last friday we've made i…",140,26/3/2021 11:10,Twitter Web App,0,449,en
site,site,142," week 30. for this #climatestrike, i am outside the eu commission representative in helsinki. i am asking for the cap to…",140,26/3/2021 9:03,Twitter for iPhone,0,246,en
site,site,143,today on #climatestrike week 136 i strike outside the eu commission’s representation in sweden.ahead of our meetin… ,140,26/3/2021 8:48,Twitter for iPhone,10551,1693,en
site,site,144," no, the vast majority of scientists do not suppothe dangerous idea of deliberately geoengineering the planet https…",140,26/3/2021 6:37,Twitter Web App,0,383,en
site,site,145,see you all at the next climate strike) ,64,25/3/2021 18:11,Twitter Web App,381054,62864,en
site,site,146, stop pretending individual action is useless against the climate crisis.individual action provides the political powe…,140,25/3/2021 17:50,Twitter Web App,0,804,en
site,site,147,"china continues to build coal-fired power plants at a rate that outpaces the rest of the world combined. in 2020,… ",139,25/3/2021 17:48,Twitter Web App,4275,1447,en
site,site,148, climate justice activists are not criminals! democracy and freedom of speech is crucial in the fight for a better plane…,140,25/3/2021 17:43,Twitter Web App,0,281,en
site,site,149," despite pledging to peak emissions by 2030, china has gone on a coal plant-building spree. total of 247 gw is currently in…",139,25/3/2021 16:01,Twitter Web App,0,276,en
site,site,150,"“...people were suggesting planting trees in natural grasslands, savannah, and tundra. i think that would be a terr… ",140,25/3/2021 6:27,Twitter Web App,3575,683,en
site,site,151,"despite the economic recession induced by the coronavirus pandemic, more money went into the industry in 2020 than… ",140,24/3/2021 18:30,Twitter Web App,4966,1742,en
site,site,152," more oil and gas wells are to be drilled in the north sea, uk government announced.i don't know how i should describe…",139,24/3/2021 16:00,Twitter Web App,0,587,en
site,site,153,"however, it's becoming painfully clear that no real change will happen until this dominates the news so that the bu… ",140,24/3/2021 11:33,Twitter Web App,9215,1036,en
site,site,154,or could it be that they... i don't know... maybe just don't really care? and that they are doing everything in the… ,140,24/3/2021 11:24,Twitter Web App,12054,1124,en
site,site,155,isn't it funny that the same people who are calling us naive for believing change is possible are the ones who beli… ,140,24/3/2021 11:21,Twitter Web App,47859,7579,en
site,site,156,fossil gas and burning trees for energy will play key pain  eu's so-called green deal.a leak shows the eu is… ,139,24/3/2021 10:27,Twitter Web App,3325,1020,en
site,site,157,”uk government to allow new north sea oil and gas exploration”uk petroleum reserves stand at ca 5.2 billion barrel… ,140,24/3/2021 7:25,Twitter Web App,4448,1218,en
